Transaction_number,1,2,3,4,5,6,7,8,9
983,frankfurter,onions,butter,processed cheese,rolls/buns,coffee,bottled beer,,
984,pip fruit,root vegetables,dessert,yogurt,domestic eggs,shopping bags,,,
985,frankfurter,whole milk,coffee,detergent,,,,,
986,whole milk,newspapers,,,,,,,
987,domestic eggs,hygiene articles,photo/film,flower soil/fertilizer,,,,,
988,packaged fruit/vegetables,dessert,mayonnaise,oil,soda,waffles,chocolate,flower (seeds),shopping bags
989,chicken,other vegetables,whipped/sour cream,frozen vegetables,bottled water,long life bakery product,,,
990,pork,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,domestic eggs,white bread,sugar
991,citrus fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,pastry,vinegar
992,light bulbs,,,,,,,,
993,cream cheese ,margarine,tea,,,,,,
994,sausage,curd,frozen meals,domestic eggs,cake bar,seasonal products,detergent,cleaner,house keeping products
995,citrus fruit,onions,,,,,,,
996,other vegetables,whipped/sour cream,roll products ,,,,,,
997,chicken,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,yogurt,whipped/sour cream
998,ice cream,,,,,,,,
999,pork,beef,ice cream,rolls/buns,newspapers,,,,
1000,pork,tropical fruit,other vegetables,yogurt,semi-finished bread,flour,margarine,artif. sweetener,organic products
1001,onions,domestic eggs,soda,hygiene articles,,,,,
1002,tropical fruit,pip fruit,grapes,root vegetables,herbs,yogurt,baking powder,seasonal products,pot plants
1003,whipped/sour cream,cream cheese ,bottled water,canned beer,shopping bags,,,,
1004,berries,root vegetables,other vegetables,butter,hard cheese,domestic eggs,rolls/buns,fruit/vegetable juice,sparkling wine
1005,berries,dessert,whipped/sour cream,white bread,coffee,shopping bags,,,
1006,rolls/buns,long life bakery product,,,,,,,
1007,ice cream,long life bakery product,,,,,,,
1008,coffee,fruit/vegetable juice,dishes,,,,,,
1009,whole milk,butter,pasta,misc. beverages,,,,,
1010,whole milk,,,,,,,,
1011,citrus fruit,berries,butter milk,yogurt,,,,,
1012,beef,grapes,nuts/prunes,root vegetables,onions,other vegetables,cream,soft cheese,sliced cheese
1013,pork,citrus fruit,grapes,root vegetables,whole milk,ready soups,pot plants,,
1014,turkey,tropical fruit,pip fruit,root vegetables,other vegetables,curd,butter milk,yogurt,curd cheese
1015,margarine,newspapers,,,,,,,
1016,butter milk,yogurt,,,,,,,
1017,beef,tropical fruit,onions,other vegetables,whole milk,butter,curd,butter milk,yogurt
1018,bottled water,,,,,,,,
1019,pip fruit,whole milk,domestic eggs,bottled water,long life bakery product,,,,
1020,whole milk,rice,,,,,,,
1021,chocolate,,,,,,,,
1022,frankfurter,chicken,butter milk,margarine,long life bakery product,,,,
1023,whole milk,white bread,,,,,,,
1024,sausage,root vegetables,domestic eggs,dish cleaner,,,,,
1025,grapes,zwieback,soda,waffles,,,,,
1026,brown bread,,,,,,,,
1027,root vegetables,other vegetables,cream cheese ,pasta,oil,margarine,salty snack,pot plants,
1028,UHT-milk,bottled water,,,,,,,
1029,onions,,,,,,,,
1030,beef,bottled water,misc. beverages,specialty chocolate,shopping bags,,,,
1031,pork,whole milk,rolls/buns,bottled beer,,,,,
1032,canned beer,specialty chocolate,candy,shopping bags,,,,,
1033,yogurt,margarine,,,,,,,
1034,yogurt,whipped/sour cream,flour,margarine,sugar,baking powder,cat food,soda,fruit/vegetable juice
1035,pip fruit,curd,dessert,yogurt,specialty chocolate,specialty bar,newspapers,shopping bags,
1036,meat,chicken,root vegetables,whole milk,oil,,,,
1037,coffee,misc. beverages,bottled beer,,,,,,
1038,bottled water,,,,,,,,
1039,bottled beer,liquor,,,,,,,
1040,sausage,whole milk,whipped/sour cream,pasta,pet care,fruit/vegetable juice,,,
1041,shopping bags,,,,,,,,
1042,pork,herbs,other vegetables,yogurt,domestic eggs,specialty bar,dishes,,
1043,frankfurter,other vegetables,specialty cheese,chewing gum,,,,,
1044,ice cream,,,,,,,,
1045,root vegetables,other vegetables,spread cheese,margarine,canned beer,,,,
1046,sausage,tropical fruit,grapes,other vegetables,processed cheese,frozen meals,domestic eggs,white bread,salty snack
1047,sausage,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,spread cheese
1048,root vegetables,,,,,,,,
1049,canned vegetables,,,,,,,,
1050,tropical fruit,whole milk,white bread,brown bread,misc. beverages,bottled beer,,,
1051,grapes,yogurt,UHT-milk,soft cheese,rolls/buns,fruit/vegetable juice,candy,dental care,newspapers
1052,whole milk,pastry,,,,,,,
1053,frankfurter,whole milk,yogurt,domestic eggs,brown bread,margarine,fruit/vegetable juice,canned beer,shopping bags
1054,dessert,bottled water,soda,,,,,,
1055,shopping bags,,,,,,,,
1056,butter,rolls/buns,salt,,,,,,
1057,frankfurter,ham,chicken,whole milk,butter,processed cheese,frozen vegetables,white bread,pastry
1058,pork,ice cream,soda,cake bar,,,,,
1059,whole milk,rolls/buns,roll products ,zwieback,bottled beer,,,,
1060,brown bread,,,,,,,,
1061,frozen fish,canned beer,red/blush wine,,,,,,
1062,soda,misc. beverages,,,,,,,
1063,whole milk,frozen vegetables,,,,,,,
1064,pork,hamburger meat,pip fruit,grapes,root vegetables,other vegetables,whole milk,yogurt,cream cheese 
1065,whipped/sour cream,,,,,,,,
1066,frankfurter,pip fruit,root vegetables,curd,yogurt,UHT-milk,white bread,pastry,instant coffee
1067,grapes,other vegetables,whole milk,butter,toilet cleaner,newspapers,,,
1068,sausage,grapes,butter,curd,yogurt,whipped/sour cream,beverages,UHT-milk,sliced cheese
1069,citrus fruit,white bread,liquor,specialty bar,shopping bags,,,,
1070,ham,butter,yogurt,hard cheese,ice cream,domestic eggs,misc. beverages,fruit/vegetable juice,
1071,chewing gum,,,,,,,,
1072,beef,,,,,,,,
1073,beef,tropical fruit,pip fruit,grapes,root vegetables,processed cheese,rolls/buns,white bread,pastry
1074,other vegetables,whole milk,yogurt,specialty cheese,cereals,bottled beer,long life bakery product,,
1075,frankfurter,sausage,ham,other vegetables,domestic eggs,rolls/buns,pastry,long life bakery product,specialty bar
1076,canned fish,,,,,,,,
1077,sausage,other vegetables,whole milk,sliced cheese,white bread,baking powder,pickled vegetables,rum,
1078,bottled water,soda,fruit/vegetable juice,long life bakery product,chewing gum,candy,,,
1079,specialty cheese,,,,,,,,
1080,bottled water,soda,,,,,,,
1081,bottled water,soda,chewing gum,,,,,,
1082,chicken,beef,whole milk,curd,brown bread,pastry,sauces,pickled vegetables,bottled water
1083,frankfurter,tropical fruit,dessert,pastry,flour,margarine,sugar,artif. sweetener,sauces
1084,chicken,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,hard cheese,processed cheese,mayonnaise
1085,chicken,tropical fruit,whole milk,condensed milk,soft cheese,processed cheese,domestic eggs,white bread,pastry
1086,butter,rolls/buns,pastry,bottled water,canned beer,waffles,,,
1087,citrus fruit,root vegetables,dessert,yogurt,UHT-milk,brown bread,,,
1088,whipped/sour cream,beverages,liquor (appetizer),,,,,,
1089,frankfurter,turkey,citrus fruit,,,,,,
1090,beef,citrus fruit,other vegetables,whole milk,domestic eggs,rolls/buns,brown bread,coffee,soda
1091,chicken,other vegetables,white wine,specialty chocolate,,,,,
1092,sausage,finished products,tropical fruit,pip fruit,other vegetables,butter,curd,dessert,butter milk
1093,citrus fruit,whole milk,butter,dessert,UHT-milk,flower (seeds),shopping bags,,
1094,ice cream,coffee,waffles,,,,,,
1095,specialty chocolate,,,,,,,,
1096,frankfurter,herbs,yogurt,UHT-milk,mayonnaise,frozen vegetables,margarine,bottled water,soda
1097,pork,,,,,,,,
1098,UHT-milk,vinegar,waffles,chocolate,,,,,
1099,UHT-milk,domestic eggs,brown bread,coffee,soda,canned beer,liquor (appetizer),newspapers,
1100,cookware,,,,,,,,
1101,citrus fruit,butter,UHT-milk,margarine,bottled beer,,,,
1102,sausage,hamburger meat,tropical fruit,onions,other vegetables,butter,yogurt,white bread,brown bread
1103,frankfurter,root vegetables,other vegetables,domestic eggs,rolls/buns,pastry,soups,Instant food products,bottled water
1104,citrus fruit,yogurt,UHT-milk,cream cheese ,dish cleaner,house keeping products,shopping bags,,
1105,ham,whole milk,processed cheese,white bread,semi-finished bread,bottled water,soda,fruit/vegetable juice,popcorn
1106,ham,chicken,citrus fruit,pip fruit,herbs,other vegetables,butter,napkins,
1107,bottled water,canned beer,,,,,,,
1108,popcorn,candy,,,,,,,
1109,tropical fruit,pip fruit,other vegetables,cream cheese ,soda,bottled beer,,,
1110,frankfurter,sausage,UHT-milk,frozen meals,frozen dessert,domestic eggs,rolls/buns,pastry,mustard
1111,hamburger meat,citrus fruit,packaged fruit/vegetables,rolls/buns,vinegar,cocoa drinks,specialty chocolate,,
1112,soda,candy,,,,,,,
1113,sausage,root vegetables,rolls/buns,bottled water,white wine,flower (seeds),,,
1114,yogurt,sliced cheese,frozen vegetables,frozen meals,pickled vegetables,coffee,instant coffee,,
1115,meat,other vegetables,whole milk,yogurt,soft cheese,sliced cheese,domestic eggs,margarine,cat food
1116,red/blush wine,,,,,,,,
1117,UHT-milk,instant coffee,,,,,,,
1118,brown bread,,,,,,,,
1119,semi-finished bread,,,,,,,,
1120,whole milk,soda,misc. beverages,shopping bags,,,,,
1121,cat food,dish cleaner,shopping bags,,,,,,
1122,citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,whole milk,curd,dessert
1123,citrus fruit,other vegetables,butter,soda,bottled beer,canned beer,waffles,chocolate,seasonal products
1124,meat,other vegetables,packaged fruit/vegetables,cream cheese ,margarine,bottled water,salty snack,,
1125,rolls/buns,,,,,,,,
1126,root vegetables,whipped/sour cream,salt,fruit/vegetable juice,salty snack,,,,
1127,tropical fruit,other vegetables,whole milk,curd,whipped/sour cream,bottled beer,,,
1128,brown bread,oil,sugar,soda,bottled beer,,,,
1129,shopping bags,,,,,,,,
1130,grapes,brown bread,bottled beer,white wine,,,,,
1131,ham,tropical fruit,cream cheese ,processed cheese,white bread,candy,,,
1132,root vegetables,skin care,,,,,,,
1133,ice cream,misc. beverages,canned beer,napkins,shopping bags,,,,
1134,tropical fruit,other vegetables,bottled water,bottled beer,napkins,,,,
1135,finished products,other vegetables,soda,fruit/vegetable juice,,,,,
1136,dessert,,,,,,,,
1137,sparkling wine,,,,,,,,
1138,other vegetables,yogurt,oil,dental care,,,,,
1139,misc. beverages,,,,,,,,
1140,other vegetables,nut snack,,,,,,,
1141,misc. beverages,,,,,,,,
1142,dessert,yogurt,UHT-milk,soda,canned beer,light bulbs,,,
1143,frankfurter,tropical fruit,cream cheese ,rolls/buns,fruit/vegetable juice,kitchen towels,newspapers,,
1144,sausage,citrus fruit,pip fruit,yogurt,beverages,sliced cheese,sugar,bottled water,soda
1145,meat,citrus fruit,root vegetables,other vegetables,whipped/sour cream,semi-finished bread,salty snack,,
1146,sausage,yogurt,pastry,margarine,soda,bottled beer,flower (seeds),,
1147,onions,,,,,,,,
1148,beef,citrus fruit,onions,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese
1149,pip fruit,other vegetables,butter,yogurt,whipped/sour cream,brown bread,pastry,fruit/vegetable juice,detergent
1150,ham,hamburger meat,onions,other vegetables,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread
1151,yogurt,newspapers,,,,,,,
1152,citrus fruit,grapes,curd,bottled water,waffles,,,,
1153,other vegetables,sugar,,,,,,,
1154,pork,frozen meals,frozen fish,shopping bags,,,,,
1155,bathroom cleaner,,,,,,,,
1156,ham,grapes,spread cheese,ice cream,frozen potato products,white bread,oil,pudding powder,
1157,grapes,specialty cheese,pasta,coffee,bottled water,soda,canned beer,brandy,white wine
1158,pastry,,,,,,,,
1159,citrus fruit,bottled water,red/blush wine,photo/film,,,,,
1160,photo/film,,,,,,,,
1161,dessert,white bread,,,,,,,
1162,citrus fruit,tropical fruit,pip fruit,long life bakery product,,,,,
1163,soda,,,,,,,,
1164,chewing gum,,,,,,,,
1165,root vegetables,sliced cheese,soda,bottled beer,,,,,
1166,pork,other vegetables,,,,,,,
1167,turkey,whole milk,UHT-milk,fruit/vegetable juice,,,,,
1168,tropical fruit,other vegetables,soda,candy,shopping bags,,,,
1169,sausage,other vegetables,pasta,oil,margarine,coffee,syrup,canned beer,napkins
1170,sausage,meat,other vegetables,brown bread,canned fish,bottled water,canned beer,liquor (appetizer),shopping bags
1171,pork,tropical fruit,other vegetables,dessert,yogurt,roll products ,flour,rice,coffee
1172,sausage,citrus fruit,pip fruit,mayonnaise,brown bread,shopping bags,,,
1173,grapes,chocolate,light bulbs,,,,,,
1174,grapes,pastry,salty snack,light bulbs,shopping bags,,,,
1175,other vegetables,yogurt,processed cheese,ketchup,bottled water,male cosmetics,,,
1176,pot plants,,,,,,,,
1177,bottled water,pot plants,,,,,,,
1178,prosecco,hygiene articles,pot plants,,,,,,
1179,UHT-milk,soda,dish cleaner,napkins,,,,,
1180,bottled water,soda,chewing gum,specialty chocolate,candy,,,,
1181,rolls/buns,canned fish,canned beer,,,,,,
1182,specialty chocolate,,,,,,,,
1183,beef,other vegetables,butter milk,yogurt,whipped/sour cream,cream cheese ,white bread,fruit/vegetable juice,bottled beer
1184,tropical fruit,pasta,bottled water,,,,,,
1185,beef,root vegetables,other vegetables,butter,yogurt,rolls/buns,flour,,
1186,rolls/buns,white wine,,,,,,,
1187,berries,root vegetables,whipped/sour cream,roll products ,bottled beer,,,,
1188,sausage,hamburger meat,whole milk,rolls/buns,oil,pickled vegetables,softener,hygiene articles,
1189,chicken,pork,beef,whole milk,curd,whipped/sour cream,,,
1190,sausage,citrus fruit,whole milk,cream cheese ,processed cheese,frozen vegetables,rolls/buns,pastry,fruit/vegetable juice
1191,shopping bags,,,,,,,,
1192,canned beer,,,,,,,,
1193,soda,canned beer,,,,,,,
1194,yogurt,UHT-milk,rolls/buns,,,,,,
1195,rolls/buns,red/blush wine,newspapers,,,,,,
1196,rolls/buns,coffee,,,,,,,
1197,whole milk,brown bread,,,,,,,
1198,citrus fruit,root vegetables,other vegetables,whole milk,curd,yogurt,whipped/sour cream,hard cheese,cream cheese 
1199,citrus fruit,tropical fruit,grapes,whole milk,brown bread,pastry,,,
1200,brown bread,chocolate,,,,,,,
1201,tropical fruit,other vegetables,whipped/sour cream,UHT-milk,frozen vegetables,oil,margarine,fruit/vegetable juice,kitchen towels
1202,frankfurter,tropical fruit,butter,whipped/sour cream,frozen vegetables,rolls/buns,sugar,baking powder,bottled water
1203,coffee,,,,,,,,
1204,ham,rolls/buns,bottled beer,chewing gum,,,,,
1205,other vegetables,curd,yogurt,pickled vegetables,bottled water,,,,
1206,sausage,whole milk,curd,butter milk,whipped/sour cream,,,,
1207,pork,whole milk,margarine,soda,canned beer,newspapers,,,
1208,citrus fruit,yogurt,whipped/sour cream,soda,cookware,,,,
1209,tropical fruit,whole milk,domestic eggs,pastry,hygiene articles,,,,
1210,other vegetables,yogurt,cream cheese ,,,,,,
1211,pork,whole milk,sugar,soda,long life bakery product,chocolate,,,
1212,chicken,pork,pip fruit,other vegetables,whole milk,tidbits,frozen fish,rolls/buns,margarine
1213,root vegetables,whole milk,yogurt,rolls/buns,pot plants,,,,
1214,citrus fruit,cake bar,baby cosmetics,shopping bags,,,,,
1215,fruit/vegetable juice,,,,,,,,
1216,beef,tropical fruit,whole milk,ice cream,cat food,,,,
1217,frankfurter,sausage,liver loaf,ham,chicken,beef,citrus fruit,tropical fruit,root vegetables
1218,frankfurter,pip fruit,other vegetables,yogurt,spread cheese,rolls/buns,white bread,pastry,coffee
1219,beef,hamburger meat,other vegetables,rolls/buns,brown bread,bottled water,soda,bottled beer,canned beer
1220,ham,pork,hamburger meat,pip fruit,other vegetables,whole milk,butter,curd,dessert
1221,shopping bags,,,,,,,,
1222,pork,root vegetables,other vegetables,specialty fat,sugar,baking powder,cat food,salty snack,waffles
1223,condensed milk,bottled water,misc. beverages,bottled beer,bathroom cleaner,,,,
1224,chicken,bottled beer,red/blush wine,newspapers,,,,,
1225,sausage,meat,butter,domestic eggs,cat food,,,,
1226,bottled beer,pot plants,,,,,,,
1227,chicken,pork,grapes,other vegetables,domestic eggs,rolls/buns,pastry,soda,specialty bar
1228,finished products,other vegetables,whole milk,whipped/sour cream,margarine,cereals,soda,salty snack,
1229,pork,beef,citrus fruit,berries,root vegetables,other vegetables,whole milk,yogurt,cream cheese 
1230,root vegetables,whole milk,yogurt,frozen potato products,,,,,
1231,domestic eggs,seasonal products,shopping bags,,,,,,
1232,domestic eggs,specialty bar,seasonal products,shopping bags,,,,,
1233,bottled water,soda,,,,,,,
1234,cling film/bags,,,,,,,,
1235,other vegetables,rolls/buns,bottled water,fruit/vegetable juice,canned beer,whisky,shopping bags,,
1236,whole milk,,,,,,,,
1237,sausage,meat,pork,whole milk,butter,whipped/sour cream,frozen vegetables,frozen dessert,white bread
1238,sausage,mayonnaise,rolls/buns,canned beer,shopping bags,,,,
1239,tropical fruit,sliced cheese,domestic eggs,zwieback,,,,,
1240,frankfurter,beef,tropical fruit,pip fruit,butter,yogurt,dog food,long life bakery product,cookware
1241,frozen potato products,pot plants,,,,,,,
1242,frankfurter,sausage,packaged fruit/vegetables,soda,,,,,
1243,frankfurter,other vegetables,zwieback,,,,,,
1244,chicken,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,dessert,yogurt,whipped/sour cream
1245,tropical fruit,pip fruit,other vegetables,whole milk,napkins,dishes,flower (seeds),,
1246,bottled beer,,,,,,,,
1247,citrus fruit,grapes,rolls/buns,pastry,coffee,soda,,,
1248,hamburger meat,pip fruit,whole milk,curd,beverages,brandy,male cosmetics,cookware,shopping bags
1249,chicken,berries,mayonnaise,frozen vegetables,salty snack,newspapers,,,
1250,pork,,,,,,,,
1251,rolls/buns,,,,,,,,
1252,bottled water,,,,,,,,
1253,sausage,tropical fruit,whole milk,yogurt,processed cheese,pastry,margarine,Instant food products,coffee
1254,frozen potato products,bottled water,soda,,,,,,
1255,frankfurter,whole milk,whipped/sour cream,curd cheese,domestic eggs,margarine,baking powder,cat food,bottled water
1256,sausage,root vegetables,other vegetables,whole milk,butter,whipped/sour cream,processed cheese,sugar,baking powder
1257,tropical fruit,dessert,sweet spreads,fruit/vegetable juice,,,,,
1258,bottled beer,,,,,,,,
1259,bottled beer,,,,,,,,
1260,rolls/buns,brown bread,,,,,,,
1261,citrus fruit,tropical fruit,whole milk,coffee,,,,,
1262,yogurt,softener,,,,,,,
1263,turkey,pork,beef,hamburger meat,tropical fruit,root vegetables,onions,other vegetables,whole milk
1264,soda,softener,,,,,,,
1265,canned beer,,,,,,,,
1266,canned beer,,,,,,,,
1267,sausage,other vegetables,whole milk,,,,,,
1268,pork,root vegetables,whole milk,curd,whipped/sour cream,rolls/buns,white bread,canned vegetables,soda
1269,Instant food products,,,,,,,,
1270,frankfurter,sausage,tropical fruit,whole milk,yogurt,pastry,sugar,bottled water,soda
1271,oil,dental care,newspapers,,,,,,
1272,chicken,hamburger meat,other vegetables,rolls/buns,shopping bags,,,,
1273,beef,domestic eggs,rolls/buns,flour,candy,,,,
1274,dessert,UHT-milk,bottled water,soda,canned beer,chewing gum,softener,shopping bags,
1275,pork,citrus fruit,other vegetables,domestic eggs,margarine,canned beer,,,
1276,curd,whipped/sour cream,flour,baking powder,newspapers,,,,
1277,chicken,red/blush wine,,,,,,,
1278,whipped/sour cream,,,,,,,,
1279,frankfurter,ham,root vegetables,onions,whole milk,yogurt,rolls/buns,white bread,brown bread
1280,frankfurter,root vegetables,rolls/buns,pastry,mustard,bottled beer,shopping bags,,
1281,liver loaf,root vegetables,pet care,waffles,chocolate,,,,
1282,pork,root vegetables,onions,other vegetables,whole milk,napkins,shopping bags,,
1283,frankfurter,liver loaf,turkey,UHT-milk,pasta,waffles,chocolate,dental care,dishes
1284,pork,citrus fruit,root vegetables,other vegetables,whole milk,butter,soda,dishes,newspapers
1285,pork,tropical fruit,root vegetables,onions,other vegetables,whole milk,butter,whipped/sour cream,soft cheese
1286,soda,,,,,,,,
1287,root vegetables,rolls/buns,margarine,soda,bottled beer,,,,
1288,whipped/sour cream,beverages,fruit/vegetable juice,chocolate,,,,,
1289,chocolate,,,,,,,,
1290,whole milk,frozen vegetables,specialty chocolate,,,,,,
1291,pork,beef,whole milk,curd,rolls/buns,pastry,,,
1292,coffee,shopping bags,,,,,,,
1293,rolls/buns,waffles,,,,,,,
1294,citrus fruit,other vegetables,whole milk,yogurt,hard cheese,specialty cheese,rolls/buns,flour,cat food
1295,citrus fruit,yogurt,brown bread,pasta,,,,,
1296,soda,chocolate,specialty chocolate,newspapers,shopping bags,,,,
1297,cream cheese ,rolls/buns,,,,,,,
1298,soda,,,,,,,,
1299,chicken,whipped/sour cream,coffee,shopping bags,,,,,
1300,frozen fish,,,,,,,,
1301,sausage,meat,chicken,root vegetables,other vegetables,whole milk,salt,salty snack,
1302,beef,berries,other vegetables,white bread,shopping bags,,,,
1303,ham,whole milk,hard cheese,frozen meals,rolls/buns,rice,soups,baking powder,canned vegetables
1304,chicken,pork,root vegetables,onions,packaged fruit/vegetables,butter,hard cheese,salt,bottled water
1305,herbs,other vegetables,whole milk,butter,white bread,margarine,misc. beverages,hygiene articles,shopping bags
1306,grapes,root vegetables,,,,,,,
1307,tropical fruit,pip fruit,whole milk,chewing gum,chocolate,,,,
1308,frankfurter,meat,tropical fruit,berries,other vegetables,whole milk,whipped/sour cream,domestic eggs,margarine
1309,onions,other vegetables,rolls/buns,salt,chocolate,specialty bar,shopping bags,,
1310,sausage,organic sausage,citrus fruit,berries,yogurt,whipped/sour cream,domestic eggs,rolls/buns,canned vegetables
1311,citrus fruit,other vegetables,soft cheese,rolls/buns,pastry,canned beer,newspapers,,
1312,hamburger meat,pastry,soda,canned beer,detergent,softener,hygiene articles,shopping bags,
1313,frankfurter,root vegetables,other vegetables,whole milk,whipped/sour cream,sliced cheese,frozen meals,frozen dessert,flour
1314,sausage,pork,,,,,,,
1315,root vegetables,other vegetables,yogurt,,,,,,
1316,oil,dish cleaner,newspapers,,,,,,
1317,canned beer,,,,,,,,
1318,newspapers,,,,,,,,
1319,pip fruit,root vegetables,other vegetables,whole milk,chewing gum,kitchen towels,,,
1320,coffee,,,,,,,,
1321,red/blush wine,specialty chocolate,,,,,,,
1322,onions,vinegar,pet care,specialty bar,,,,,
1323,frankfurter,berries,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,brown bread,pastry
1324,meat,beef,tropical fruit,pip fruit,berries,other vegetables,whole milk,white bread,brown bread
1325,whole milk,canned fish,soda,bottled beer,hygiene articles,candles,,,
1326,dessert,dishes,,,,,,,
1327,hamburger meat,baking powder,sweet spreads,,,,,,
1328,chewing gum,napkins,dishes,,,,,,
1329,bottled water,fruit/vegetable juice,bottled beer,prosecco,,,,,
1330,beverages,pastry,long life bakery product,chocolate marshmallow,,,,,
1331,whole milk,yogurt,frozen meals,sugar,coffee,bottled water,fruit/vegetable juice,bottled beer,salty snack
1332,citrus fruit,pip fruit,grapes,other vegetables,dessert,butter milk,yogurt,domestic eggs,flour
1333,tropical fruit,whole milk,hard cheese,rolls/buns,cat food,bottled water,dish cleaner,,
1334,cat food,soda,,,,,,,
1335,whole milk,beverages,pastry,soda,,,,,
1336,soda,fruit/vegetable juice,,,,,,,
1337,sausage,yogurt,salty snack,,,,,,
1338,root vegetables,whole milk,butter,yogurt,whipped/sour cream,soft cheese,cream cheese ,domestic eggs,brown bread
1339,berries,other vegetables,butter milk,yogurt,soda,newspapers,,,
1340,other vegetables,,,,,,,,
1341,sausage,pip fruit,root vegetables,bottled beer,abrasive cleaner,light bulbs,,,
1342,beverages,bottled water,misc. beverages,,,,,,
1343,chicken,root vegetables,roll products ,vinegar,shopping bags,,,,
1344,whole milk,yogurt,chocolate,,,,,,
1345,sausage,hard cheese,rolls/buns,canned vegetables,dog food,,,,
1346,ham,hamburger meat,citrus fruit,root vegetables,onions,other vegetables,whole milk,white bread,brown bread
1347,whole milk,brown bread,,,,,,,
1348,root vegetables,onions,whole milk,bottled water,dishes,,,,
1349,citrus fruit,frozen potato products,,,,,,,
1350,frankfurter,chicken,butter,dessert,butter milk,ice cream,pastry,oil,margarine
1351,ice cream,salty snack,waffles,,,,,,
1352,sausage,ham,meat,chicken,tropical fruit,other vegetables,whole milk,butter,yogurt
1353,root vegetables,fruit/vegetable juice,long life bakery product,pot plants,,,,,
1354,ham,tropical fruit,grapes,onions,other vegetables,yogurt,whipped/sour cream,soft cheese,sliced cheese
1355,coffee,,,,,,,,
1356,citrus fruit,frozen meals,canned beer,red/blush wine,salty snack,,,,
1357,pot plants,,,,,,,,
1358,other vegetables,chocolate,,,,,,,
1359,whole milk,white bread,pastry,,,,,,
1360,zwieback,oil,mustard,chocolate,,,,,
1361,chicken,other vegetables,whole milk,domestic eggs,pastry,canned beer,,,
1362,butter,yogurt,dog food,,,,,,
1363,ham,dessert,frozen meals,frozen dessert,white bread,sweet spreads,soda,long life bakery product,specialty bar
1364,whole milk,butter milk,soda,chewing gum,shopping bags,,,,
1365,citrus fruit,misc. beverages,liquor,cling film/bags,,,,,
1366,ham,herbs,other vegetables,curd,yogurt,cream cheese ,light bulbs,,
1367,canned beer,,,,,,,,
1368,frankfurter,packaged fruit/vegetables,brown bread,margarine,waffles,,,,
1369,chicken,tropical fruit,candy,shopping bags,,,,,
1370,frankfurter,bottled beer,,,,,,,
1371,bottled beer,,,,,,,,
1372,other vegetables,cream cheese ,coffee,dishes,,,,,
1373,frozen potato products,,,,,,,,
1374,chicken,whole milk,,,,,,,
1375,sausage,meat,grapes,other vegetables,yogurt,soft cheese,domestic eggs,rolls/buns,margarine
1376,canned beer,,,,,,,,
1377,yogurt,chocolate,,,,,,,
1378,frozen meals,pet care,soda,,,,,,
1379,canned fruit,meat spreads,bottled water,,,,,,
1380,butter,waffles,chocolate,,,,,,
1381,yogurt,pastry,semi-finished bread,soda,shopping bags,,,,
1382,citrus fruit,whole milk,soft cheese,canned beer,,,,,
1383,meat,yogurt,,,,,,,
1384,root vegetables,butter,frozen vegetables,salty snack,,,,,
1385,frankfurter,sausage,whole milk,butter,dessert,pastry,fruit/vegetable juice,,
1386,tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,frozen meals,white bread,instant coffee,soda,female sanitary products
1387,yogurt,sugar,instant coffee,,,,,,
1388,root vegetables,other vegetables,white bread,sparkling wine,,,,,
1389,yogurt,rolls/buns,pastry,soda,,,,,
1390,oil,,,,,,,,
1391,citrus fruit,pip fruit,grapes,berries,soft cheese,rolls/buns,oil,shopping bags,
1392,beef,root vegetables,whole milk,butter milk,yogurt,beverages,cream cheese ,sweet spreads,soda
1393,citrus fruit,onions,other vegetables,whole milk,cream cheese ,domestic eggs,sugar,bottled water,bottled beer
1394,dessert,misc. beverages,,,,,,,
1395,curd,jam,shopping bags,,,,,,
1396,bottled water,,,,,,,,
1397,sausage,domestic eggs,coffee,soda,,,,,
1398,herbs,,,,,,,,
1399,dog food,soda,fruit/vegetable juice,bottled beer,,,,,
1400,packaged fruit/vegetables,whole milk,pastry,bottled water,soda,misc. beverages,chewing gum,specialty bar,hygiene articles
1401,frankfurter,pork,specialty fat,specialty bar,,,,,
1402,finished products,beef,tropical fruit,spread cheese,rolls/buns,waffles,chocolate,specialty chocolate,hair spray
1403,oil,,,,,,,,
1404,curd,,,,,,,,
1405,herbs,pot plants,,,,,,,
1406,sausage,other vegetables,sliced cheese,rolls/buns,coffee,soda,shopping bags,,
1407,whole milk,sugar,pudding powder,,,,,,
1408,sausage,waffles,,,,,,,
1409,soda,,,,,,,,
1410,whole milk,bottled water,soda,canned beer,,,,,
1411,root vegetables,whole milk,brown bread,brandy,detergent,dish cleaner,female sanitary products,napkins,shopping bags
1412,sugar,,,,,,,,
